,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Bagging__base_estimator__criterion,param_Bagging__base_estimator__max_depth,param_Bagging__base_estimator__max_features,param_Bagging__base_estimator__min_samples_leaf,param_Bagging__base_estimator__splitter,param_Bagging__bootstrap,param_Bagging__bootstrap_features,param_Bagging__max_samples,param_Bagging__n_estimators,param_Bagging__random_state,param_Bagging__verbose,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.014899969100952148,0.0012000083923339843,0.5692582663092046,0.5922016563941331,entropy,1,sqrt,1,random,True,True,0.7,5,100,0,"{'Bagging__max_samples': 0.7, 'Bagging__random_state': 100, 'Bagging__bootstrap_features': True, 'Bagging__base_estimator__splitter': 'random', 'Bagging__verbose': 0, 'Bagging__base_estimator__criterion': 'entropy', 'Bagging__base_estimator__max_depth': 1, 'Bagging__n_estimators': 5, 'Bagging__base_estimator__max_features': 'sqrt', 'Bagging__bootstrap': True, 'Bagging__base_estimator__min_samples_leaf': 1}",844,0.5752212389380531,0.621272365805169,0.5486725663716814,0.6013916500994035,0.5178571428571429,0.5938430983118173,0.5535714285714286,0.5958291956305859,0.625,0.5839126117179742,0.5803571428571429,0.5878848063555114,0.5446428571428571,0.5858987090367428,0.5405405405405406,0.5892857142857143,0.6216216216216216,0.5813492063492064,0.5855855855855856,0.5813492063492064,0.002165587308039943,0.0005999644710538632,0.033161166051290804,0.011474058419187107
1,0.028099966049194337,0.0013999700546264648,0.6085790884718498,0.6171270929380293,entropy,1,sqrt,1,random,True,True,0.7,10,100,0,"{'Bagging__max_samples': 0.7, 'Bagging__random_state': 100, 'Bagging__bootstrap_features': True, 'Bagging__base_estimator__splitter': 'random', 'Bagging__verbose': 0, 'Bagging__base_estimator__criterion': 'entropy', 'Bagging__base_estimator__max_depth': 1, 'Bagging__n_estimators': 10, 'Bagging__base_estimator__max_features': 'sqrt', 'Bagging__bootstrap': True, 'Bagging__base_estimator__min_samples_leaf': 1}",746,0.5752212389380531,0.6491053677932406,0.6106194690265486,0.643141153081511,0.5714285714285714,0.6166832174776564,0.6517857142857143,0.6186693147964251,0.625,0.5888778550148958,0.625,0.6137040714995035,0.5982142857142857,0.6186693147964251,0.6126126126126126,0.5972222222222222,0.5855855855855856,0.6190476190476191,0.6306306306306306,0.6061507936507936,0.002624841478923926,0.0004898527198116647,0.02459270303227498,0.017419538666708326
2,0.04500002861022949,0.001999974250793457,0.613047363717605,0.6315238416524075,entropy,1,sqrt,1,random,True,True,0.7,15,100,0,"{'Bagging__max_samples': 0.7, 'Bagging__random_state': 100, 'Bagging__bootstrap_features': True, 'Bagging__base_estimator__splitter': 'random', 'Bagging__verbose': 0, 'Bagging__base_estimator__criterion': 'entropy', 'Bagging__base_estimator__max_depth': 1, 'Bagging__n_estimators': 15, 'Bagging__base_estimator__max_features': 'sqrt', 'Bagging__bootstrap': True, 'Bagging__base_estimator__min_samples_leaf': 1}",716,0.6283185840707964,0.647117296222664,0.6283185840707964,0.6759443339960238,0.5625,0.6236345580933466,0.6517857142857143,0.6246276067527309,0.6160714285714286,0.6137040714995035,0.625,0.6226415094339622,0.6428571428571429,0.6295928500496525,0.6126126126126126,0.6111111111111112,0.5855855855855856,0.6378968253968254,0.5765765765765766,0.628968253968254,0.014401411178445973,1.1920928955078125e-07,0.027639790924628604,0.017860932498700542
3,0.019100022315979005,0.0010999917984008789,0.5880250223413762,0.5968673110922271,entropy,1,sqrt,1,random,True,True,0.9,5,100,0,"{'Bagging__max_samples': 0.9, 'Bagging__random_state': 100, 'Bagging__bootstrap_features': True, 'Bagging__base_estimator__splitter': 'random', 'Bagging__verbose': 0, 'Bagging__base_estimator__criterion': 'entropy', 'Bagging__base_estimator__max_depth': 1, 'Bagging__n_estimators': 5, 'Bagging__base_estimator__max_features': 'sqrt', 'Bagging__bootstrap': True, 'Bagging__base_estimator__min_samples_leaf': 1}",804,0.6017699115044248,0.6282306163021869,0.5486725663716814,0.5984095427435387,0.5446428571428571,0.6047666335650447,0.5892857142857143,0.6017874875868917,0.6339285714285714,0.5968222442899702,0.5803571428571429,0.5878848063555114,0.5982142857142857,0.5779543197616683,0.5855855855855856,0.5942460317460317,0.5945945945945946,0.5912698412698413,0.6036036036036037,0.5873015873015873,0.011103599365643953,0.00030003390196289414,0.02490208839214526,0.012809126954329512
4,0.02590000629425049,0.0014999628067016602,0.6023235031277927,0.6150416895781723,entropy,1,sqrt,1,random,True,True,0.9,10,100,0,"{'Bagging__max_samples': 0.9, 'Bagging__random_state': 100, 'Bagging__bootstrap_features': True, 'Bagging__base_estimator__splitter': 'random', 'Bagging__verbose': 0, 'Bagging__base_estimator__criterion': 'entropy', 'Bagging__base_estimator__max_depth': 1, 'Bagging__n_estimators': 10, 'Bagging__base_estimator__max_features': 'sqrt', 'Bagging__bootstrap': True, 'Bagging__base_estimator__min_samples_leaf': 1}",766,0.6017699115044248,0.647117296222664,0.5929203539823009,0.6391650099403579,0.5446428571428571,0.6097318768619663,0.6160714285714286,0.6216484607745779,0.6339285714285714,0.6007944389275075,0.6339285714285714,0.6146971201588878,0.5982142857142857,0.6007944389275075,0.6486486486486487,0.6081349206349206,0.5765765765765766,0.6111111111111112,0.5765765765765766,0.5972222222222222,0.002118931075477454,0.0005000352927704358,0.030115034713047155,0.015714311996053276
5,0.03740005493164063,0.001999974250793457,0.610366398570152,0.62546545512944,entropy,1,sqrt,1,random,True,True,0.9,15,100,0,"{'Bagging__max_samples': 0.9, 'Bagging__random_state': 100, 'Bagging__bootstrap_features': True, 'Bagging__base_estimator__splitter': 'random', 'Bagging__verbose': 0, 'Bagging__base_estimator__criterion': 'entropy', 'Bagging__base_estimator__max_depth': 1, 'Bagging__n_estimators': 15, 'Bagging__base_estimator__max_features': 'sqrt', 'Bagging__bootstrap': True, 'Bagging__base_estimator__min_samples_leaf': 1}",735,0.6106194690265486,0.658051689860835,0.6194690265486725,0.6570576540755467,0.5714285714285714,0.605759682224429,0.625,0.6276067527308838,0.6071428571428571,0.6047666335650447,0.6428571428571429,0.6067527308838133,0.5892857142857143,0.6166832174776564,0.6306306306306306,0.6001984126984127,0.6036036036036037,0.6329365079365079,0.6036036036036037,0.6448412698412699,0.0031048602380288042,1.1920928955078125e-07,0.019558722346032592,0.02092421943453618
6,0.013599991798400879,0.0009999990463256836,0.5764075067024129,0.5963643767116253,entropy,1,sqrt,1,random,True,False,0.7,5,100,0,"{'Bagging__max_samples': 0.7, 'Bagging__random_state': 100, 'Bagging__bootstrap_features': False, 'Bagging__base_estimator__splitter': 'random', 'Bagging__verbose': 0, 'Bagging__base_estimator__criterion': 'entropy', 'Bagging__base_estimator__max_depth': 1, 'Bagging__n_estimators': 5, 'Bagging__base_estimator__max_features': 'sqrt', 'Bagging__bootstrap': True, 'Bagging__base_estimator__min_samples_leaf': 1}",831,0.5575221238938053,0.5934393638170974,0.5575221238938053,0.6003976143141153,0.5803571428571429,0.5898709036742801,0.5357142857142857,0.5948361469712016,0.5982142857142857,0.5849056603773585,0.5714285714285714,0.602780536246276,0.5625,0.5928500496524329,0.6306306306306306,0.5982142857142857,0.6396396396396397,0.5972222222222222,0.5315315315315315,0.6091269841269841,0.0016852125038691618,0.00044718119514191055,0.034594831515638004,0.006489879601167803
7,0.025599980354309083,0.0015000343322753907,0.5969615728328865,0.624465892418381,entropy,1,sqrt,1,random,True,False,0.7,10,100,0,"{'Bagging__max_samples': 0.7, 'Bagging__random_state': 100, 'Bagging__bootstrap_features': False, 'Bagging__base_estimator__splitter': 'random', 'Bagging__verbose': 0, 'Bagging__base_estimator__criterion': 'entropy', 'Bagging__base_estimator__max_depth': 1, 'Bagging__n_estimators': 10, 'Bagging__base_estimator__max_features': 'sqrt', 'Bagging__bootstrap': True, 'Bagging__base_estimator__min_samples_leaf': 1}",782,0.6106194690265486,0.6322067594433399,0.5132743362831859,0.6222664015904572,0.625,0.6236345580933466,0.5803571428571429,0.6226415094339622,0.5357142857142857,0.6117179741807348,0.5982142857142857,0.6236345580933466,0.5625,0.6256206554121152,0.6936936936936937,0.6240079365079365,0.6846846846846847,0.6259920634920635,0.5675675675675675,0.6329365079365079,0.0033822929672341798,0.000500059132354553,0.05571422674000801,0.005546192702903622
8,0.036499977111816406,0.0018000602722167969,0.6148346738159071,0.6351887508510827,entropy,1,sqrt,1,random,True,False,0.7,15,100,0,"{'Bagging__max_samples': 0.7, 'Bagging__random_state': 100, 'Bagging__bootstrap_features': False, 'Bagging__base_estimator__splitter': 'random', 'Bagging__verbose': 0, 'Bagging__base_estimator__criterion': 'entropy', 'Bagging__base_estimator__max_depth': 1, 'Bagging__n_estimators': 15, 'Bagging__base_estimator__max_features': 'sqrt', 'Bagging__bootstrap': True, 'Bagging__base_estimator__min_samples_leaf': 1}",697,0.6017699115044248,0.6361829025844931,0.5486725663716814,0.6272365805168986,0.6160714285714286,0.6285998013902682,0.6696428571428571,0.6494538232373386,0.5803571428571429,0.6216484607745779,0.6071428571428571,0.631578947368421,0.6339285714285714,0.6444885799404171,0.6036036036036037,0.6408730158730159,0.6486486486486487,0.6339285714285714,0.6396396396396397,0.6378968253968254,0.0029749117546872964,0.0005999803614147421,0.033293399724280866,0.007970078056500846
9,0.014099979400634765,0.0009000539779663086,0.5728328865058088,0.5815827278256032,entropy,1,sqrt,1,random,True,False,0.9,5,100,0,"{'Bagging__max_samples': 0.9, 'Bagging__random_state': 100, 'Bagging__bootstrap_features': False, 'Bagging__base_estimator__splitter': 'random', 'Bagging__verbose': 0, 'Bagging__base_estimator__criterion': 'entropy', 'Bagging__base_estimator__max_depth': 1, 'Bagging__n_estimators': 5, 'Bagging__base_estimator__max_features': 'sqrt', 'Bagging__bootstrap': True, 'Bagging__base_estimator__min_samples_leaf': 1}",838,0.584070796460177,0.5974155069582505,0.6017699115044248,0.5894632206759444,0.6160714285714286,0.5908639523336644,0.5446428571428571,0.5958291956305859,0.625,0.5958291956305859,0.5714285714285714,0.6017874875868917,0.5178571428571429,0.5958291956305859,0.5045045045045045,0.5168650793650794,0.6216216216216216,0.5565476190476191,0.5405405405405406,0.5753968253968254,0.0016401019242737913,0.000300018013707291,0.041734175044882506,0.025038838082880183
