,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_RandomForest__max_depth,param_RandomForest__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.25159995555877684,0.00540003776550293,0.7958653131963357,0.795865315211026,1,50,"{'RandomForest__max_depth': 1, 'RandomForest__n_estimators': 50}",10,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7965260545905707,0.7957920792079208,0.025609404422166648,0.001113510705624936,0.00021997437944147838,2.4412001035045706e-05
1,0.48780007362365724,0.00969996452331543,0.7958653131963357,0.795865315211026,1,100,"{'RandomForest__max_depth': 1, 'RandomForest__n_estimators': 100}",10,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7965260545905707,0.7957920792079208,0.022337414016400662,0.001268867258284032,0.00021997437944147838,2.4412001035045706e-05
2,0.7234000444412232,0.013600015640258789,0.7958653131963357,0.795865315211026,1,150,"{'RandomForest__max_depth': 1, 'RandomForest__n_estimators': 150}",10,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7957920792079208,0.7958734525447043,0.7965260545905707,0.7957920792079208,0.01993586543855256,0.00249798803912048,0.00021997437944147838,2.4412001035045706e-05
3,0.45869996547698977,0.005800032615661621,0.8478583807873236,0.8496052466319535,3,50,"{'RandomForest__max_depth': 3, 'RandomForest__n_estimators': 50}",9,0.849009900990099,0.843878954607978,0.8576732673267327,0.8521320495185695,0.8539603960396039,0.855433287482806,0.8452970297029703,0.8497936726272353,0.8316831683168316,0.8427785419532324,0.8403465346534653,0.8529573590096287,0.8452970297029703,0.8444291609353508,0.8564356435643564,0.8559834938101788,0.8502475247524752,0.8493810178817056,0.8486352357320099,0.8492849284928493,0.013623873730517223,0.001077039022371008,0.007389814499381637,0.004456950238642849
4,0.8933000326156616,0.010399961471557617,0.8483535528596187,0.8498803043990781,3,100,"{'RandomForest__max_depth': 3, 'RandomForest__n_estimators': 100}",8,0.8539603960396039,0.8491059147180192,0.8576732673267327,0.8475928473177442,0.8452970297029703,0.8486932599724897,0.8465346534653465,0.8535075653370013,0.8378712871287128,0.8466299862448419,0.844059405940594,0.8518569463548831,0.849009900990099,0.8480055020632737,0.8465346534653465,0.8464924346629986,0.8564356435643564,0.8559834938101788,0.8461538461538461,0.8509350935093509,0.02379525737419571,0.002107181698174242,0.005772613646234181,0.0029702518981840945
5,1.3282000303268433,0.015399932861328125,0.8486011388957663,0.8501141837017265,3,150,"{'RandomForest__max_depth': 3, 'RandomForest__n_estimators': 150}",7,0.8564356435643564,0.8508940852819807,0.8502475247524752,0.8478679504814305,0.8502475247524752,0.850343878954608,0.8378712871287128,0.8460797799174691,0.8391089108910891,0.8504814305364512,0.8477722772277227,0.8521320495185695,0.8527227722772277,0.850343878954608,0.849009900990099,0.8513067400275103,0.8539603960396039,0.8522696011004126,0.8486352357320099,0.8494224422442245,0.04803703488155666,0.0029731458011882823,0.005645142908779556,0.0018107710390002096
6,0.6416999816894531,0.005800008773803711,0.8639514731369151,0.8741163483611085,5,50,"{'RandomForest__max_depth': 5, 'RandomForest__n_estimators': 50}",6,0.8688118811881188,0.8753782668500688,0.8886138613861386,0.8766162310866575,0.8613861386138614,0.8734525447042641,0.8502475247524752,0.8749656121045392,0.8589108910891089,0.877716643741403,0.8527227722772277,0.8656121045392022,0.8613861386138614,0.8782668500687758,0.8712871287128713,0.8741403026134801,0.8688118811881188,0.8742778541953232,0.8573200992555832,0.8707370737073707,0.02691115843491125,0.0008717330169187258,0.010516100264299489,0.0035065773266001253
7,1.346299982070923,0.0127000093460083,0.8644466452092102,0.8734973057140654,5,100,"{'RandomForest__max_depth': 5, 'RandomForest__n_estimators': 100}",4,0.870049504950495,0.8731774415405777,0.8737623762376238,0.8707015130674003,0.8663366336633663,0.8741403026134801,0.8539603960396039,0.8741403026134801,0.8477722772277227,0.8696011004126547,0.8626237623762376,0.8744154057771665,0.8675742574257426,0.8760660247592847,0.8725247524752475,0.8753782668500688,0.8675742574257426,0.8744154057771665,0.8622828784119106,0.8729372937293729,0.030308599172276875,0.0017349976799752261,0.007763407917758804,0.0018989954342188843
8,1.9104999780654908,0.015900015830993652,0.8641990591730626,0.874281319466197,5,150,"{'RandomForest__max_depth': 5, 'RandomForest__n_estimators': 150}",5,0.870049504950495,0.8731774415405777,0.8811881188118812,0.8738651994497937,0.8626237623762376,0.874828060522696,0.8589108910891089,0.874828060522696,0.8514851485148515,0.8738651994497937,0.8626237623762376,0.8751031636863824,0.8613861386138614,0.8746905089408529,0.8663366336633663,0.8741403026134801,0.8675742574257426,0.8742778541953232,0.8598014888337469,0.8740374037403741,0.038941640420146875,0.0022113240291974667,0.007488193979939085,0.0005554247354118493
9,1.0990999937057495,0.007900023460388183,0.8822728398118346,0.9389424870960272,10,50,"{'RandomForest__max_depth': 10, 'RandomForest__n_estimators': 50}",3,0.8811881188118812,0.9361760660247593,0.8948019801980198,0.9370013755158184,0.8737623762376238,0.9415405777166438,0.8725247524752475,0.9392022008253095,0.8675742574257426,0.9357634112792297,0.8910891089108911,0.9389270976616231,0.8849009900990099,0.9415405777166438,0.8960396039603961,0.9372764786795048,0.8836633663366337,0.9414030261348005,0.8771712158808933,0.9405940594059405,0.03164633009372372,0.0009433929226330179,0.009186510050270524,0.002159927963178092
10,2.098400020599365,0.014799976348876953,0.8840059420648675,0.9388187171536961,10,100,"{'RandomForest__max_depth': 10, 'RandomForest__n_estimators': 100}",1,0.8836633663366337,0.9359009628610729,0.8923267326732673,0.9422283356258597,0.8762376237623762,0.9411279229711141,0.8712871287128713,0.9375515818431912,0.8725247524752475,0.9386519944979367,0.8886138613861386,0.9371389270976617,0.8886138613861386,0.9403026134800551,0.8935643564356436,0.9372764786795048,0.8873762376237624,0.9383768913342504,0.8858560794044665,0.9396314631463146,0.044940389753716115,0.0018330378962040904,0.007563264880262675,0.0018804934628539774
11,3.137899947166443,0.019500112533569335,0.8832631839564249,0.9386537346994672,10,150,"{'RandomForest__max_depth': 10, 'RandomForest__n_estimators': 150}",2,0.8849009900990099,0.9386519944979367,0.8935643564356436,0.9363136176066025,0.8811881188118812,0.9407152682255846,0.870049504950495,0.9387895460797799,0.8688118811881188,0.9426409903713893,0.8910891089108911,0.9383768913342504,0.8811881188118812,0.939614855570839,0.900990099009901,0.9363136176066025,0.8836633663366337,0.9383768913342504,0.8771712158808933,0.9367436743674368,0.0455707171903687,0.0022471955532421574,0.009559000843661982,0.001893257519400138
