,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_AdaBoost__algorithm,param_AdaBoost__base_estimator__criterion,param_AdaBoost__base_estimator__max_depth,param_AdaBoost__base_estimator__max_features,param_AdaBoost__base_estimator__min_samples_leaf,param_AdaBoost__base_estimator__splitter,param_AdaBoost__learning_rate,param_AdaBoost__n_estimators,param_AdaBoost__random_state,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.37040004730224607,0.008799982070922852,0.8326318395642486,0.8320541603678937,SAMME,entropy,1,sqrt,1,random,0.1,80,100,"{'AdaBoost__base_estimator__splitter': 'random', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.1, 'AdaBoost__n_estimators': 80, 'AdaBoost__base_estimator__max_features': 'sqrt'}",634,0.8304455445544554,0.8292984869325998,0.8391089108910891,0.8308115543328748,0.8353960396039604,0.8321870701513068,0.8341584158415841,0.8320495185694635,0.8254950495049505,0.833837689133425,0.8267326732673267,0.8324621733149932,0.8292079207920792,0.8341127922971114,0.8316831683168316,0.8325997248968363,0.8391089108910891,0.8319119669876204,0.8349875930521092,0.8312706270627063,0.0224597442059889,0.0018330691129666602,0.004501101501610608,0.0013293867493139372
1,0.43510000705718993,0.010399985313415527,0.8362218370883883,0.8366757611111868,SAMME,entropy,1,sqrt,1,random,0.1,100,100,"{'AdaBoost__base_estimator__splitter': 'random', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.1, 'AdaBoost__n_estimators': 100, 'AdaBoost__base_estimator__max_features': 'sqrt'}",628,0.8353960396039604,0.8352132049518569,0.8415841584158416,0.8359009628610728,0.8391089108910891,0.8361760660247592,0.8391089108910891,0.836726272352132,0.8254950495049505,0.8383768913342503,0.8353960396039604,0.8365887207702889,0.8329207920792079,0.83878954607978,0.8378712871287128,0.8365887207702889,0.8415841584158416,0.8363136176066025,0.8337468982630273,0.8360836083608361,0.021561269716604888,0.0018000099416669016,0.004586796760737554,0.0010416575819938796
2,0.5095000267028809,0.012399935722351074,0.8430304530824462,0.8428791520830211,SAMME,entropy,1,sqrt,1,random,0.1,120,100,"{'AdaBoost__base_estimator__splitter': 'random', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.1, 'AdaBoost__n_estimators': 120, 'AdaBoost__base_estimator__max_features': 'sqrt'}",622,0.8428217821782178,0.841678129298487,0.8551980198019802,0.8433287482806052,0.844059405940594,0.8418156808803301,0.8403465346534653,0.8426409903713893,0.8292079207920792,0.8447042640990371,0.8366336633663366,0.8434662998624484,0.8415841584158416,0.8441540577716644,0.8477722772277227,0.8422283356258597,0.849009900990099,0.8419532324621734,0.8436724565756824,0.8428217821782178,0.03636824171595813,0.0022890845319086315,0.006702160089718472,0.000970444531216501
3,0.35889997482299807,0.00820002555847168,0.8691507798960139,0.8699072926549876,SAMME,entropy,1,sqrt,1,random,0.3,80,100,"{'AdaBoost__base_estimator__splitter': 'random', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.3, 'AdaBoost__n_estimators': 80, 'AdaBoost__base_estimator__max_features': 'sqrt'}",490,0.870049504950495,0.8691884456671252,0.879950495049505,0.8686382393397524,0.870049504950495,0.8700137551581844,0.8564356435643564,0.8716643741403026,0.8589108910891089,0.8722145804676754,0.8688118811881188,0.8675378266850069,0.8737623762376238,0.8715268225584594,0.875,0.8687757909215956,0.8712871287128713,0.8696011004126547,0.8672456575682382,0.8699119911991199,0.011588314580551031,0.001399980275051468,0.006698282428302667,0.0014198873898819103
4,0.4328000068664551,0.01100001335144043,0.8713790542213419,0.8712552830248637,SAMME,entropy,1,sqrt,1,random,0.3,100,100,"{'AdaBoost__base_estimator__splitter': 'random', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.3, 'AdaBoost__n_estimators': 100, 'AdaBoost__base_estimator__max_features': 'sqrt'}",464,0.8725247524752475,0.8700137551581844,0.8824257425742574,0.870563961485557,0.8712871287128713,0.871939477303989,0.8613861386138614,0.8733149931224209,0.8601485148514851,0.8737276478679504,0.8725247524752475,0.8691884456671252,0.875,0.8724896836313618,0.8774752475247525,0.8696011004126547,0.8712871287128713,0.8712517193947731,0.869727047146402,0.8704620462046204,0.023898929883376902,0.002049404488234613,0.006354148108618198,0.0014833594074599393
5,0.5134999752044678,0.012400007247924805,0.8737311215647438,0.873772397528611,SAMME,entropy,1,sqrt,1,random,0.3,120,100,"{'AdaBoost__base_estimator__splitter': 'random', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.3, 'AdaBoost__n_estimators': 120, 'AdaBoost__base_estimator__max_features': 'sqrt'}",422,0.8762376237623762,0.8730398899587345,0.8824257425742574,0.8723521320495186,0.8737623762376238,0.8735900962861073,0.8589108910891089,0.8749656121045392,0.8613861386138614,0.8757909215955983,0.8762376237623762,0.8713892709766162,0.8774752475247525,0.8762035763411279,0.879950495049505,0.8730398899587345,0.8774752475247525,0.8740027510316368,0.8734491315136477,0.8733498349834984,0.028457850230437544,0.0022890928650196626,0.007260356168717202,0.001429799542220141
6,0.3494999885559082,0.008699989318847657,0.8764545679623669,0.8786002915972478,SAMME,entropy,1,sqrt,1,random,0.5,80,100,"{'AdaBoost__base_estimator__splitter': 'random', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.5, 'AdaBoost__n_estimators': 80, 'AdaBoost__base_estimator__max_features': 'sqrt'}",383,0.8737623762376238,0.8764786795048143,0.8898514851485149,0.8788170563961486,0.8737623762376238,0.8785419532324622,0.8551980198019802,0.8814305364511692,0.8638613861386139,0.8821182943603851,0.8836633663366337,0.8738651994497937,0.8774752475247525,0.8803301237964236,0.8873762376237624,0.8763411279229711,0.8811881188118812,0.8786795048143053,0.8784119106699751,0.8794004400440044,0.02443049279957302,0.001791661148740672,0.010015838458123557,0.0023685862333502
7,0.4390000104904175,0.010299992561340333,0.8789304283238425,0.8801408466156107,SAMME,entropy,1,sqrt,1,random,0.5,100,100,"{'AdaBoost__base_estimator__splitter': 'random', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.5, 'AdaBoost__n_estimators': 100, 'AdaBoost__base_estimator__max_features': 'sqrt'}",344,0.8787128712871287,0.8785419532324622,0.8873762376237624,0.8804676753782669,0.875,0.8797799174690509,0.8576732673267327,0.8828060522696011,0.8650990099009901,0.8837689133425034,0.8886138613861386,0.8763411279229711,0.879950495049505,0.881980742778542,0.8923267326732673,0.8778541953232463,0.879950495049505,0.8796423658872077,0.8846153846153846,0.8802255225522553,0.03521082630681321,0.0018466099306065238,0.01018729038929304,0.002153305447671823
8,0.5275999546051026,0.012400031089782715,0.8805397375588017,0.8820390470959062,SAMME,entropy,1,sqrt,1,random,0.5,120,100,"{'AdaBoost__base_estimator__splitter': 'random', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.5, 'AdaBoost__n_estimators': 120, 'AdaBoost__base_estimator__max_features': 'sqrt'}",298,0.8824257425742574,0.881292984869326,0.8923267326732673,0.8822558459422284,0.8762376237623762,0.8829436038514443,0.8601485148514851,0.8855570839064649,0.8650990099009901,0.8856946354883081,0.8910891089108911,0.878404401650619,0.8824257425742574,0.8830811554332875,0.8873762376237624,0.8788170563961486,0.8836633663366337,0.8817056396148556,0.8846153846153846,0.8806380638063807,0.025120510914331158,0.0021070617594195966,0.010016864129289435,0.0023219284894211833
9,0.8089000225067139,0.009300017356872558,0.8677890566972023,0.8702648775881714,SAMME,entropy,1,sqrt,1,best,0.1,80,100,"{'AdaBoost__base_estimator__splitter': 'best', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.1, 'AdaBoost__n_estimators': 80, 'AdaBoost__base_estimator__max_features': 'sqrt'}",507,0.8663366336633663,0.8702888583218708,0.8849009900990099,0.86767537826685,0.8675742574257426,0.8711141678129298,0.8527227722772277,0.8708390646492434,0.8576732673267327,0.8704264099037139,0.8737623762376238,0.869050894085282,0.8650990099009901,0.870563961485557,0.879950495049505,0.8701513067400275,0.8725247524752475,0.8708390646492434,0.8573200992555832,0.8716996699669967,0.030914192784658467,0.0013453765408804308,0.009731919485739041,0.0010838627486263418
10,0.9761999845504761,0.009800004959106445,0.8711314681851944,0.874776395452475,SAMME,entropy,1,sqrt,1,best,0.1,100,100,"{'AdaBoost__base_estimator__splitter': 'best', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.1, 'AdaBoost__n_estimators': 100, 'AdaBoost__base_estimator__max_features': 'sqrt'}",466,0.8712871287128713,0.8766162310866575,0.8861386138613861,0.872627235213205,0.8712871287128713,0.8745529573590096,0.8514851485148515,0.874828060522696,0.8589108910891089,0.8757909215955983,0.8824257425742574,0.8729023383768914,0.8675742574257426,0.8751031636863824,0.8811881188118812,0.8745529573590096,0.8762376237623762,0.8727647867950481,0.8647642679900744,0.878025302530253,0.039952005941012066,0.0017204927943366554,0.010337853323061462,0.001653980067127738
11,1.1707999944686889,0.010700011253356933,0.8733597425105224,0.8766057936605215,SAMME,entropy,1,sqrt,1,best,0.1,120,100,"{'AdaBoost__base_estimator__splitter': 'best', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.1, 'AdaBoost__n_estimators': 120, 'AdaBoost__base_estimator__max_features': 'sqrt'}",426,0.8725247524752475,0.8770288858321871,0.8873762376237624,0.8746905089408529,0.8737623762376238,0.8773039889958735,0.8576732673267327,0.8756533700137552,0.8589108910891089,0.878404401650619,0.8849009900990099,0.875515818431912,0.870049504950495,0.8763411279229711,0.8836633663366337,0.8753782668500688,0.8787128712871287,0.8763411279229711,0.8660049627791563,0.8794004400440044,0.05437239907409664,0.00219311988304571,0.009926418166852044,0.0013828200590725087
12,0.7785999536514282,0.007600021362304687,0.8799207724684328,0.8844873366291237,SAMME,entropy,1,sqrt,1,best,0.3,80,100,"{'AdaBoost__base_estimator__splitter': 'best', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.3, 'AdaBoost__n_estimators': 80, 'AdaBoost__base_estimator__max_features': 'sqrt'}",317,0.8774752475247525,0.8830811554332875,0.8935643564356436,0.8830811554332875,0.870049504950495,0.8852819807427785,0.8650990099009901,0.8851444291609354,0.8638613861386139,0.88707015130674,0.8886138613861386,0.8847317744154057,0.8774752475247525,0.8852819807427785,0.8985148514851485,0.8832187070151307,0.8935643564356436,0.8826685006877579,0.8709677419354839,0.8853135313531353,0.05956369355332778,0.001799983448637611,0.012086835561583513,0.0013409043490310354
13,0.9920000314712525,0.00969996452331543,0.8820252537756871,0.8864680567093849,SAMME,entropy,1,sqrt,1,best,0.3,100,100,"{'AdaBoost__base_estimator__splitter': 'best', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.3, 'AdaBoost__n_estimators': 100, 'AdaBoost__base_estimator__max_features': 'sqrt'}",254,0.8824257425742574,0.8845942228335626,0.8923267326732673,0.8850068775790921,0.8725247524752475,0.8880330123796424,0.870049504950495,0.8881705639614855,0.8663366336633663,0.8878954607977991,0.8886138613861386,0.8862448418156809,0.8898514851485149,0.8866574965612104,0.8960396039603961,0.8861072902338377,0.8886138613861386,0.8858321870701513,0.8734491315136477,0.8861386138613861,0.03022913610851083,0.001615541558246604,0.010020875869700867,0.0011730355942696957
14,1.1631999969482423,0.011699962615966796,0.8825204258479822,0.8876647025087653,SAMME,entropy,1,sqrt,1,best,0.3,120,100,"{'AdaBoost__base_estimator__splitter': 'best', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.3, 'AdaBoost__n_estimators': 120, 'AdaBoost__base_estimator__max_features': 'sqrt'}",240,0.879950495049505,0.88707015130674,0.8935643564356436,0.8854195323246218,0.8762376237623762,0.8895460797799175,0.8712871287128713,0.8905089408528198,0.8663366336633663,0.8887207702888583,0.8836633663366337,0.8866574965612104,0.8923267326732673,0.8876203576341128,0.8997524752475248,0.8865199449793673,0.8935643564356436,0.8865199449793673,0.8684863523573201,0.8880638063806381,0.04414697953447931,0.0022825148845176052,0.01126637666286728,0.0014810633149671328
15,0.7928999900817871,0.008500003814697265,0.883139390938351,0.888063594530017,SAMME,entropy,1,sqrt,1,best,0.5,80,100,"{'AdaBoost__base_estimator__splitter': 'best', 'AdaBoost__base_estimator__max_depth': 1, 'AdaBoost__base_estimator__criterion': 'entropy', 'AdaBoost__base_estimator__min_samples_leaf': 1, 'AdaBoost__algorithm': 'SAMME', 'AdaBoost__random_state': 100, 'AdaBoost__learning_rate': 0.5, 'AdaBoost__n_estimators': 80, 'AdaBoost__base_estimator__max_features': 'sqrt'}",225,0.8787128712871287,0.8858321870701513,0.8923267326732673,0.887757909215956,0.8787128712871287,0.8895460797799175,0.8774752475247525,0.8881705639614855,0.8712871287128713,0.8885832187070152,0.8886138613861386,0.88707015130674,0.8824257425742574,0.8878954607977991,0.8960396039603961,0.8878954607977991,0.8910891089108911,0.8895460797799175,0.8746898263027295,0.8883388338833883,0.033756353186773454,0.0012845229628505735,0.007922249977605237,0.0010425365021643042
